plate	experiment	group	filename	sample	workspace	compensation	plot.title	gate	X.par	Y.par	count	volume	concentration	pcTotal	pcGated	X.mean	Y.mean	X.median	Y.median	X.peak	Y.peak	X.SD	Y.SD	X.pcCV	Y.pcCV	X.rSD	Y.rSD	X.pcrCV	Y.pcrCV
Plate(4)	Experiment	Group		241-295-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15424	4	3856	68.251	68.251	369868	94	353924	89	267114	89	140546.29	24.59	38	26.27	155913.18	11.86	44.05	13.33
Plate(4)	Experiment	Group		241-295-2	Experiment	None	N/A	All Events	N/A	N/A	18069	5	3613.8	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-295-2	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	14408	5	2881.6	79.739	79.739	348665	104459	329667	96378	277339	72695	132435.25	41654.68	37.98	39.88	137101.21	41130.29	41.59	42.68
Plate(4)	Experiment	Group		241-295-2	Experiment	None		R1	Pho4-GFP - BL1-H		10000	5	2000	55.343	55.343	2139	N/A	1775	N/A	1446	N/A	1557.76	N/A	72.83	N/A	1011.87	N/A	57.01	N/A
Plate(4)	Experiment	Group		241-295-2	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	5	2000	55.343	55.343	757	N/A	415	N/A	410	N/A	949.68	N/A	125.5	N/A	320.24	N/A	77.17	N/A
Plate(4)	Experiment	Group		241-295-2	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	5	2000	55.343	69.406	341908	85	323900	85	277339	78	112854.63	7.79	33.01	9.11	122089.88	7.41	37.69	8.72
Plate(4)	Experiment	Group		241-295-2	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	14408	5	2881.6	79.739	79.739	348665	92	329667	88	277339	78	132435.25	23.48	37.98	25.63	137101.21	11.86	41.59	13.48
Plate(4)	Experiment	Group		241-295-3	Experiment	None	N/A	All Events	N/A	N/A	20426	4	5106.5	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-295-3	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15016	4	3754	73.514	73.514	363124	107703	345325	100220	281765	76852	135864.66	43144.56	37.42	40.06	144567.58	44149.6	41.86	44.05
Plate(4)	Experiment	Group		241-295-3	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	48.957	48.957	2059	N/A	1784	N/A	1634	N/A	1298.99	N/A	63.08	N/A	955.54	N/A	53.58	N/A
Plate(4)	Experiment	Group		241-295-3	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	48.957	48.957	473	N/A	269	N/A	233	N/A	664.3	N/A	140.31	N/A	180.88	N/A	67.24	N/A
Plate(4)	Experiment	Group		241-295-3	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	48.957	66.596	349549	86	332559	85	242678	82	114545.81	8.05	32.77	9.39	125774.14	7.41	37.82	8.72
Plate(4)	Experiment	Group		241-295-3	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15016	4	3754	73.514	73.514	363124	93	345325	89	281765	90	135864.66	26.51	37.42	28.38	144567.58	11.86	41.86	13.33
Plate(4)	Experiment	Group		241-296-1	Experiment	None	N/A	All Events	N/A	N/A	17954	5	3590.8	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-296-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15138	5	3027.6	84.315	84.315	453663	120027	436756	113401	359559	97266	149012.79	44118.02	32.85	36.76	164458.14	45751.55	37.65	40.35
Plate(4)	Experiment	Group		241-296-1	Experiment	None		R1	Pho4-GFP - BL1-H		10000	5	2000	55.698	55.698	2242	N/A	1915	N/A	1796	N/A	1346.57	N/A	60.07	N/A	1060.8	N/A	55.39	N/A
Plate(4)	Experiment	Group		241-296-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	5	2000	55.698	55.698	4120	N/A	3235	N/A	3084	N/A	3382.64	N/A	82.1	N/A	1898.47	N/A	58.69	N/A
Plate(4)	Experiment	Group		241-296-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	5	2000	55.698	66.059	415957	89	405365	88	363712	84	122038.8	9	29.34	10.13	139053.05	8.9	34.3	10.11
Plate(4)	Experiment	Group		241-296-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15138	5	3027.6	84.315	84.315	453663	100	436756	93	359559	84	149012.79	30.48	32.85	30.49	164458.14	13.34	37.65	14.35
Plate(4)	Experiment	Group		241-296-2	Experiment	None	N/A	All Events	N/A	N/A	18149	4	4537.25	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-296-2	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15476	4	3869	85.272	85.272	453278	119879	436613	113409	353410	84962	148520.84	44439.35	32.77	37.07	162794.67	46631.48	37.29	41.12
Plate(4)	Experiment	Group		241-296-2	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	55.099	55.099	2053	N/A	1762	N/A	1701	N/A	1203.16	N/A	58.61	N/A	919.21	N/A	52.17	N/A
Plate(4)	Experiment	Group		241-296-2	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	55.099	55.099	3602	N/A	2692	N/A	2486	N/A	3228.86	N/A	89.64	N/A	1565.63	N/A	58.17	N/A
Plate(4)	Experiment	Group		241-296-2	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	55.099	64.616	416603	89	405121	87	353293	83	120430.37	8.91	28.91	10.05	136242.04	8.9	33.63	10.22
Plate(4)	Experiment	Group		241-296-2	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15476	4	3869	85.272	85.272	453278	100	436613	93	353410	83	148520.84	30.16	32.77	30.15	162794.67	13.34	37.29	14.35
Plate(4)	Experiment	Group		241-296-3	Experiment	None	N/A	All Events	N/A	N/A	17258	4	4314.5	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		241-296-3	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15010	4	3752.5	86.974	86.974	433608	115056	410641	107331	353314	91221	148717.16	44147.26	34.3	38.37	158119.29	43927.21	38.51	40.93
Plate(4)	Experiment	Group		241-296-3	Experiment	None		R1	Pho4-GFP - BL1-H		10000	4	2500	57.944	57.944	1965	N/A	1656	N/A	1725	N/A	1221.45	N/A	62.16	N/A	873.25	N/A	52.73	N/A
Plate(4)	Experiment	Group		241-296-3	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	57.944	57.944	4134	N/A	3224	N/A	3441	N/A	3533.55	N/A	85.48	N/A	2031.16	N/A	63.01	N/A
Plate(4)	Experiment	Group		241-296-3	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	57.944	66.622	399397	88	384044	87	353357	82	121878.46	8.87	30.52	10.08	133041.11	8.9	34.64	10.22
Plate(4)	Experiment	Group		241-296-3	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15010	4	3752.5	86.974	86.974	433608	99	410641	92	353314	82	148717.16	29.18	34.3	29.61	158119.29	13.34	38.51	14.5
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None	N/A	All Events	N/A	N/A	24088	5	4817.6	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	18113	5	3622.6	75.195	75.195	423435	111260	409190	103849	285582	82940	157974.85	46374.47	37.31	41.68	181995.08	48839.81	44.48	47.03
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None		R1	Pho4-GFP - BL1-H		10628	5	2125.6	44.122	44.122	1025	N/A	876	N/A	937	N/A	673.02	N/A	65.67	N/A	395.85	N/A	45.19	N/A
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10628	5	2125.6	44.122	44.122	6536	N/A	4929	N/A	5162	N/A	5629.61	N/A	86.13	N/A	2858.45	N/A	58	N/A
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10628	5	2125.6	44.122	58.676	394176	87	378303	86	293985	88	130793.84	8.93	33.18	10.28	154568.46	8.9	40.86	10.34
Plate(4)	Experiment	Group	B18-1.fcs	B18-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	18113	5	3622.6	75.195	75.195	423435	100	409190	92	285582	93	157974.85	35.21	37.31	35.27	181995.08	14.83	44.48	16.12
