Group,ID,Sample,Rep,Pho4,Pho2,PHO5RFP,FP,Parameter,Count,Perc_gated,Median,CV,rCV
Lindsey,180w-1,180w,1,pH180,ScPho2,pho5,T,Pho4-GFP-H,10000,18.595,1523,36.34,31.35
Lindsey,180w-2,180w,2,pH180,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,23.345,18881,54.15,57.45
Lindsey,180w-2,180w,2,pH180,ScPho2,pho5,T,Pho4-GFP-H,10000,23.345,1689,39.7,35.99
Lindsey,180w-3,180w,3,pH180,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,20.094,24395,41.69,37.91
Lindsey,180w-3,180w,3,pH180,ScPho2,pho5,T,Pho4-GFP-H,10000,20.094,1758,39.05,36.01
Lindsey,180wo-1,180wo,1,pH180,pho2del,pho5,T,PHO5pr-mCherry-H,10000,21.24,2161,69.62,55.41
Lindsey,180wo-1,180wo,1,pH180,pho2del,pho5,T,Pho4-GFP-H,10000,21.24,1727,52.32,48.25
Lindsey,180wo-2,180wo,2,pH180,pho2del,pho5,T,PHO5pr-mCherry-H,10000,23.541,2136,72.06,54.46
Lindsey,180wo-2,180wo,2,pH180,pho2del,pho5,T,Pho4-GFP-H,10000,23.541,1753,51.01,46.49
Lindsey,180wo-3,180wo,3,pH180,pho2del,pho5,T,PHO5pr-mCherry-H,10000,23.544,2128,72.68,55.78
Lindsey,180wo-3,180wo,3,pH180,pho2del,pho5,T,Pho4-GFP-H,10000,23.544,1748,50.6,46.73
Lindsey,193w-1,193w,1,pH193,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,29.081,5337,60.26,50.3
Lindsey,193w-1,193w,1,pH193,ScPho2,pho5,T,Pho4-GFP-H,10000,29.081,1085,43.57,39.63
Lindsey,193w-2,193w,2,pH193,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,28.442,5502,59.67,50.4
Lindsey,193w-2,193w,2,pH193,ScPho2,pho5,T,Pho4-GFP-H,10000,28.442,1193,44.15,40.2
Lindsey,193w-3,193w,3,pH193,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,26.214,5404,64.28,53.3
Lindsey,193w-3,193w,3,pH193,ScPho2,pho5,T,Pho4-GFP-H,10000,26.214,1037,45.85,41.89
Lindsey,193wo-1,193wo,1,pH193,pho2del,pho5,T,PHO5pr-mCherry-H,10000,24.773,1830,74.33,59.22
Lindsey,193wo-1,193wo,1,pH193,pho2del,pho5,T,Pho4-GFP-H,10000,24.773,1343,49.76,45.48
Lindsey,193wo-2,193wo,2,pH193,pho2del,pho5,T,PHO5pr-mCherry-H,10000,27.264,1988,71.96,60.33
Lindsey,193wo-2,193wo,2,pH193,pho2del,pho5,T,Pho4-GFP-H,10000,27.264,1547,50.82,45.62
Lindsey,193wo-3,193wo,3,pH193,pho2del,pho5,T,PHO5pr-mCherry-H,10000,25.665,1722,70.78,56.88
Lindsey,193wo-3,193wo,3,pH193,pho2del,pho5,T,Pho4-GFP-H,10000,25.665,1454,47.99,43.49
Lindsey,188w-1,188w,1,pH188,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,25.975,9339,50.21,45.7
Lindsey,188w-1,188w,1,pH188,ScPho2,pho5,T,Pho4-GFP-H,10000,25.975,1128,39.81,37.72
Lindsey,188w-2,188w,2,pH188,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,26.81,8469,50.39,45.57
Lindsey,188w-2,188w,2,pH188,ScPho2,pho5,T,Pho4-GFP-H,10000,26.81,1076,40.04,37.06
Lindsey,188w-3,188w,3,pH188,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,27.812,5831,67.6,56.37
Lindsey,188w-3,188w,3,pH188,ScPho2,pho5,T,Pho4-GFP-H,10000,27.812,825,48.37,46.19
Lindsey,188wo-1,188wo,1,pH188,pho2del,pho5,T,PHO5pr-mCherry-H,10000,21.675,7589,59.77,52.61
Lindsey,188wo-1,188wo,1,pH188,pho2del,pho5,T,Pho4-GFP-H,10000,21.675,948,46.7,44.42
Lindsey,188wo-2,188wo,2,pH188,pho2del,pho5,T,PHO5pr-mCherry-H,10000,23.477,7035,59.08,48.53
Lindsey,188wo-2,188wo,2,pH188,pho2del,pho5,T,Pho4-GFP-H,10000,23.477,968,43.61,41.66
Lindsey,188wo-3,188wo,3,pH188,pho2del,pho5,T,PHO5pr-mCherry-H,10000,23.368,6828,59.03,46.97
Lindsey,188wo-3,188wo,3,pH188,pho2del,pho5,T,Pho4-GFP-H,10000,23.368,993,43.61,39.57
Lindsey,194w-3,194w,3,pH194,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,28.172,9440,56.72,51.04
Lindsey,194w-3,194w,3,pH194,ScPho2,pho5,T,Pho4-GFP-H,10000,28.172,1155,44.2,41.59
Lindsey,194w-1,194w,1,pH194,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,25.019,12448,44.48,41.62
Lindsey,194w-1,194w,1,pH194,ScPho2,pho5,T,Pho4-GFP-H,10000,25.019,1396,38.2,35.68
Lindsey,194w-2,194w,2,pH194,ScPho2,pho5,T,PHO5pr-mCherry-H,10000,28.185,11595,46.41,42.69
Lindsey,194w-2,194w,2,pH194,ScPho2,pho5,T,Pho4-GFP-H,10000,28.185,1309,39.45,36.02
Lindsey,194wo-1,194wo,1,pH194,pho2del,pho5,T,PHO5pr-mCherry-H,10000,24.574,1397,83.69,85.01
Lindsey,194wo-1,194wo,1,pH194,pho2del,pho5,T,Pho4-GFP-H,10000,24.574,2354,71.8,72.05
Lindsey,194wo-2,194wo,2,pH194,pho2del,pho5,T,PHO5pr-mCherry-H,10000,25.886,671,117.32,71.09
Lindsey,194wo-2,194wo,2,pH194,pho2del,pho5,T,Pho4-GFP-H,10000,25.886,1268,69.65,48.76
Lindsey,194wo-3,194wo,3,pH194,pho2del,pho5,T,PHO5pr-mCherry-H,10000,24.816,848,100.89,81.82
Lindsey,194wo-3,194wo,3,pH194,pho2del,pho5,T,Pho4-GFP-H,10000,24.816,1506,75.34,54.51
Lindsey,yH156-1,yH156,1,ScPho4,ScPho2,NA,F,PHO5pr-mCherry-H,10000,25.427,70,303.45,38.12
Lindsey,yH156-1,yH156,1,ScPho4,ScPho2,NA,F,Pho4-GFP-H,10000,25.427,734,49,45.25
