# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0	 Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
Well	Well Position	Omit	Sample	Pi	Minute	Replicate	Target	Task	Reporter	Quencher	Amp Status	Amp Score	Curve Quality	Result Quality Issues	Cq	Cq Confidence	Cq Mean	Cq SD	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Tm4
74	G2	FALSE	0oi 45min	0	45	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.19964445			25.56813974	0.84086773	26.65684431	1.952052603	TRUE	0.047918776	TRUE	3	22	64.70713806			
75	G3	FALSE	7pi 2hr	7	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.169783811			26.66612984	0.958011867	26.25145968	0.609794178	TRUE	0.047918776	TRUE	3	23	65.03222656	75.00878906		
76	G4	FALSE	7pi 2hr	7	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.171592411			26.41176376	0.806195126	26.25145968	0.609794178	TRUE	0.047918776	TRUE	3	24	64.8080368	75.12088776		
77	G5	FALSE	06pi 2hr	0.06	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.186265339			24.73948812	0.881479875	25.5033049	1.231585938	TRUE	0.047918776	TRUE	3	21	65.69322205	74.98078156		
78	G6	FALSE	06pi 2hr	0.06	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.184732868			24.89284248	0.955532296	25.5033049	1.231585938	TRUE	0.047918776	TRUE	3	21	64.23854065			
79	G7	FALSE	0pi 2hr	0	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.195748953			24.64648208	0.936343112	24.42694995	0.470809263	TRUE	0.047918776	TRUE	3	21	64.79837036	75.42726135		
80	G8	FALSE	0pi 2hr	0	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.177038022			24.67172335	0.922528965	24.42694995	0.470809263	TRUE	0.047918776	TRUE	3	21	64.35083771	75.09161377		
81	G9	FALSE	06pi 2hr	0.06	120	1	Scpho84	UNKNOWN	SYBR	None	Amp	0.909100788			17.78512294	0.557805293	16.60873404	1.152858575	TRUE	0.039999999	TRUE	3	15	63.68775177	68.39767456	72.32260895	
82	G10	FALSE	06pi 2hr	0.06	120	2	Scpho84	UNKNOWN	SYBR	None	Inconclusive	1.082852705			17.33491453	0.403845181	16.60873404	1.152858575	TRUE	0.039999999	TRUE	3	15	64.13631439			
83	G11	FALSE	0pi 2hr	0	120	1	Scpho84	UNKNOWN	SYBR	None	Amp	1.059371134			15.86273318	0.67561789	15.31954302	0.390162232	TRUE	0.039999999	TRUE	3	13	70.80050659	65.00384521		
84	G12	FALSE	0pi 2hr	0	120	2	Scpho84	UNKNOWN	SYBR	None	Amp	1.078479565			15.14287788	0.683940498	15.31954302	0.390162232	TRUE	0.039999999	TRUE	3	13	63.55467606	69.6857605		
85	H1	FALSE	0oi 45min	0	45	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.181302991			29.56905229	0.773778127	26.65684431	1.952052603	TRUE	0.047918776	TRUE	3	26	65.04412842	74.70446777	78.18668365	
86	H2	FALSE	0oi 45min	0	45	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.206202341			25.97171208	0.925176835	26.65684431	1.952052603	TRUE	0.047918776	TRUE	3	23	65.26878357	75.04145813	79.7592926	76.83872986
87	H3	FALSE	7pi 2hr	7	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.196463238			25.35053944	0.634198685	26.25145968	0.609794178	TRUE	0.047918776	TRUE	3	22	65.03222656	74.67250061		
88	H4	FALSE	7pi 2hr	7	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.204392509			26.57740568	0.799879662	26.25145968	0.609794178	TRUE	0.047918776	TRUE	3	24	66.15319061			
89	H5	FALSE	06pi 2hr	0.06	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.191007766			25.03935595	0.960595275	25.5033049	1.231585938	TRUE	0.047918776	TRUE	3	22	65.58132172	74.98078156		
90	H6	FALSE	06pi 2hr	0.06	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.14052866			27.34153304	0.768795604	25.5033049	1.231585938	TRUE	0.047918776	TRUE	3	23	64.68613434			
91	H7	FALSE	0pi 2hr	0	120	1	Scspl2	UNKNOWN	SYBR	None	Amp	1.167811479			24.66865682	0.815188461	24.42694995	0.470809263	TRUE	0.047918776	TRUE	3	20	66.02908325	74.64408112		
92	H8	FALSE	0pi 2hr	0	120	2	Scspl2	UNKNOWN	SYBR	None	Amp	1.205672316			23.72093755	0.811170705	24.42694995	0.470809263	TRUE	0.047918776	TRUE	3	20	65.91720581	74.4203186		
93	H9	FALSE	06pi 2hr	0.06	120	1	Scpho84	UNKNOWN	SYBR	None	Amp	0.968775848			16.02223323	0.579867847	16.60873404	1.152858575	TRUE	0.039999999	TRUE	3	14	69.51908112	72.21046448	63.3513298	65.81842804
94	H10	FALSE	06pi 2hr	0.06	120	2	Scpho84	UNKNOWN	SYBR	None	Amp	0.950860968			15.29266545	0.546193498	16.60873404	1.152858575	TRUE	0.039999999	TRUE	3	13	64.9213028	67.94911194		
95	H11	FALSE	0pi 2hr	0	120	1	Scpho84	UNKNOWN	SYBR	None	Amp	0.941324417			15.31410524	0.563240471	15.31954302	0.390162232	TRUE	0.039999999	TRUE	3	12	71.91525269	69.57428741	65.67268372	63.77762604
96	H12	FALSE	0pi 2hr	0	120	2	Scpho84	UNKNOWN	SYBR	None	Amp	1.055924049			14.95845576	0.567339604	15.31954302	0.390162232	TRUE	0.039999999	TRUE	3	13	70.13166046	69.23986816	66.45301056	64.11204529
