# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"50","E2","false","b4","Scspl2","UNKNOWN","SYBR","None","Amp","1.1658820027626688","","","28.182425687471444","0.9034362540657273","28.26444638166918","0.39897808627955966","true","0.047918776049736336","true","3","24","65.94276428222656","76.16474914550781","",""
"51","E3","false","7 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1935375934210508","","","25.840994760484097","0.7138356808849982","26.84389561166661","0.67241460700906","true","0.047918776049736336","true","3","22","75.0087890625","66.15319061279297","64.69593811035156","79.94102478027344"
"52","E4","false","7 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1669189825308066","","","27.267047957271217","0.9315285689925563","26.84389561166661","0.67241460700906","true","0.047918776049736336","true","3","25","65.70480346679688","","",""
"53","E5","false","06pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1397591645161005","","","30.517661204069526","0.6487397708271103","27.526731046327978","2.1043278400038026","true","0.047918776049736336","true","3","26","63.679046630859375","60.769691467285156","74.64508819580078",""
"54","E6","false","06pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.168915366025275","","","25.852182774467984","0.8313400318860985","27.526731046327978","2.1043278400038026","true","0.047918776049736336","true","3","21","64.90992736816406","75.20457458496094","",""
"55","E7","false","0pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.170442667287075","","","26.927200351037904","0.9217711063437297","27.153105568916835","0.5120428072267814","true","0.047918776049736336","true","3","24","66.1409683227539","74.75596618652344","",""
"56","E8","false","0pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.195492536493468","","","26.538993845010857","0.9088590586339681","27.153105568916835","0.5120428072267814","true","0.047918776049736336","true","3","22","75.09161376953125","64.35083770751953","80.01446533203125",""
"57","E9","false","7pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1906343533077701","","","27.53791760856351","0.9324733017024048","27.80049696037387","0.9170782468654188","true","0.047918776049736336","true","3","24","66.04270935058594","75.68684387207031","",""
"58","E10","false","7pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1140835351681426","","","29.113811900227393","0.8377416297649303","27.80049696037387","0.9170782468654188","true","0.047918776049736336","true","3","27","74.34114837646484","77.5932388305664","65.93057250976562",""
"59","E11","false","06 pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","0.9665228926736675","","","35.146074659634635","0.7193617268560112","31.900361177275197","4.4862058186660105","true","0.047918776049736336","true","3","33","65.00384521484375","74.70210266113281","77.7119140625",""
