file	sample	row	col	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
F5	yH295	F	5	F5	20000	18900	11158	9028	337872.5	604.99993896484375	3549.4998779296875	911.7591702563507	5596.901636150389
F6	B18	F	6	F6	20000	18836	10613	8769	418298	1401	35828	1772.756479932658	45768.40094970655
F7	B18	F	7	F7	20000	18125	11297	6249	288786	1012.0000610351562	30526.001953125	1716.872619610558	54884.44519451
F8	B18	F	8	F8	20000	18956	9899	8074	445738.5	1423.0001220703125	32804.49609375	1731.2239798066803	39814.20070961089
F9	neg	F	9	F9	23	8	7	4	191384	630.0000305175781	176	1717.7636433971659	373.7674159783239
F10	B18	F	10	F10	20000	18654	11213	6552	305282.5	1069.9998779296875	31643.0009765625	1746.4281745658918	54542.89381572152
F11	B18	F	11	F11	20000	19182	9789	8033	454767	1414.000244140625	36106.99609375	1670.3485281363287	42777.42860788263
F12	B18	F	12	F12	20000	18518	9732	7509	443447	1391	36147.00390625	1686.2322438513074	44143.5658748471
G1	B18	G	1	G1	20000	19259	10395	8774	415264	1364.999755859375	30220.998046875	1755.8048791748415	39317.30496603873
G2	B18	G	2	G2	20000	19072	9989	8402	447262	1517.5001831054688	35265.498046875	1829.7430425417379	42516.40770381551
G3	B18	G	3	G3	20000	18435	11326	6516	310536.5	1240.4999389648438	29015.494140625	2022.8531347630633	49993.20423136084
G4	B18	G	4	G4	20000	19323	10305	8678	427925.5	1534.9998779296875	43928.998046875	1911.50080042415	54936.00270917197
G5	B18	G	5	G5	20000	19040	10072	8406	428987.5	1332.0001220703125	30315.998046875	1652.3591136647515	37970.8503346555
G6	B18	G	6	G6	20000	19090	10090	8026	430079.5	1356.9998779296875	32602.4970703125	1705.3846344578428	40858.49672329835
G7	B18	G	7	G7	20000	18918	10058	8029	426381	1340.0001220703125	31880.994140625	1694.4126264799756	40503.09541713449
G8	B18	G	8	G8	20000	19163	9784	8080	453464.5	1415	35088.501953125	1686.3008985678048	41964.15824983018
G9	B18	G	9	G9	20000	18479	10065	7789	430921	1339.0001220703125	35094.99609375	1654.9185433633265	43943.926586723726
G10	yH372	G	10	G10	20000	18901	11848	9038	325458.5	619	2645.00048828125	956.21586822639415	4198.302910031864
G11	yH372	G	11	G11	20000	19404	10745	9262	434175.5	871.99993896484375	3076.999755859375	1007.27460781682	3707.4278443169433
G12	yH372	G	12	G12	20000	19230	10973	9578	438447	882	3317.5003662109375	1007.817179336785	3951.7084162678534
H1	yH156	H	1	H1	20000	19134	10621	9377	423416	709.00006103515625	112.99999237060547	879.3904265644944	136.41271085180188
H2	B18	H	2	H2	20000	19319	10627	9084	411036.5	1407.999755859375	38006.5	1821.98849241058	49767.94259461317
H3	B18	H	3	H3	20000	19306	9776	8184	444452.5	1624.0003662109375	40873.505859375	1984.0251079441218	49032.3062328691
H4	B18	H	4	H4	20000	19165	10876	9035	420962	1468.0003662109375	41739.98828125	1865.373435968357	52939.52462980892
H5	yH296	H	5	H5	20000	19188	11202	8983	353384	631	3731.999755859375	904.4455281268627	5505.395657217259
H6	B18	H	6	H6	20000	18924	10308	8568	431640.5	1387.9998779296875	35885.00390625	1719.2111517182775	45080.88302031844
H7	B18	H	7	H7	20000	18989	9803	7813	446315	1415	35598.00390625	1711.9521583245592	42968.88161042304
H8	B18	H	8	H8	20000	19008	9658	7781	455785	1470.999755859375	37872.00390625	1756.8954899610853	44822.26882261766
H9	yH295	H	9	H9	20000	19155	10405	8646	391418.5	720.99993896484375	5125.99951171875	949.9477607910874	7031.201470660731
H10	yH373	H	10	H10	20000	18766	8230	7084	497980.5	1193.9998779296875	4428.499755859375	1208.0937486793841	4617.6736761032025
H11	yH373	H	11	H11	20000	18832	7750	6552	500725.5	1235.999755859375	4725.0009765625	1243.1377549502622	4866.873015058958
H12	yH373	H	12	H12	20000	18494	7844	6339	510748	1270.9996337890625	5258.00048828125	1257.5833672143433	5326.2080099205195
