V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
1	1	1	0.9991614	1	0.9987422	1	1	1	1	1	0.560587	1	1	1	1	1	1	1	1	1	1	1	0.9937107	1	1	1	1	1	1	1	0.9890985	0.9689727	0.8578616	0.9119497	0.9991614	0.9584906	0.9895178	0.9492663	0.9257861
0	0	0	0	0	0	0	0	0	0.1086142	0	0	0	0	0.2808989	0.4344569	0.2808989	0.6179775	0	0	0	0.4194756	0	0	0.1423221	0.2883895	0.2808989	0.2921348	0.6441948	0	0.5805243	0	0	0	0	0	0	0	0	0
0.9019765	0.6929309	0.6097757	0.7691417	0.8337785	0.8398326	0.5581375	0.6768162	0.7538283	0.6418269	0.6375534	0.5548433	0.7191061	0.7369124	0.8523861	0.8797187	0.6779736	0.9415954	0.6206375	0.6621261	0.8911147	0.9257479	0.6468127	0.7688746	0.9513889	0.6595442	0.5920584	0.9294872	0.9334046	0.6553597	0.9720442	0.7353098	0.8019053	0.6289174	0.7143875	0.6499287	0.6459224	0.6700498	0.6025641	0.6383547
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0.985258	0.959869	0.9664209	1	1	1	0.996724	0.9426699	0.945127	1	0.999181	0.971335	1	1	1	0.986896	0.989353	1	1	1	1	1	1	1	0.996724	1	1	0.995086	0.984439	1	1	1	1	1	1	1	1	1
1	1	1	0.9852071	1	1	0.9970414	1	1	0.9787968	0.9906312	1	1	1	1	0.9945759	1	1	0.9787968	1	1	1	1	1	1	0.9876726	0.9906312	1	1	0.9970414	1	1	1	1	1	1	0.9906312	1	0.9921104	1
1	1	1	1	1	1	1	1	1	1	1	0.2965879	1	1	1	1	1	1	1	1	1	1	1	0.9002625	1	1	1	1	1	1	1	1	0.9947507	0.9527559	0.9448819	0.847769	0.7979003	1	0.976378	0.9553806
1	1	1	1	1	1	1	1	1	1	1	0.687892	1	1	1	1	1	1	0.9946937	1	1	1	1	0.9749156	1	1	1	1	1	1	1	1	0.9850459	0.9271587	1	0.9980704	1	1	1	0.9917993
1	1	1	1	1	1	1	1	1	1	1	0.97426	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.990562	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.9920871	1	0.987636	0.9871414	0.9985163	0.9653808	0.9856578	0.9490603	0.8694362	0.9851632	0.9935707	0.9856578	0.9965381	0.983185	1	0.9851632	0.9881306	0.9920871	1	0.9846687	0.995549	1	1	1	0.9856578	0.9985163	0.9995055	0.9985163	0.9881306	1	1	1	1	1	1	1	0.9930761	0.9995055	1
1	1	1	0.9896782	0.9987857	0.9896782	0.9623558	1	0.9781421	0.9781421	0.9781421	1	1	0.9787492	0.9842137	0.9896782	1	0.985428	1	0.9969642	0.9902854	0.9793564	0.9914997	1	1	1	0.9793564	1	0.9775349	0.9969642	0.9908925	1	1	1	1	1	1	0.9969642	0.9957498	1
0.9407051	0.9407051	0.9607372	0.9294872	0.9294872	0.9214743	0.9070513	0.8966346	0.8709936	0.9254808	0.9254808	0.9102564	0.9463141	0.9399039	0.9126602	0.9294872	0.9463141	0.9254808	0.9254808	0.9254808	0.917468	0.9471154	0.9407051	0.9294872	0.9294872	0.9391026	0.9254808	0.9254808	0.8990384	0.9294872	0.963141	0.9519231	0.9294872	0.931891	0.9423077	0.9463141	0.931891	0.9463141	0.9519231	0.9310898
0.9830796	0.9974619	0.9830796	1	1	1	1	1	1	1	1	0.2258883	1	1	1	1	1	1	1	1	1	1	1	0.4737733	1	1	1	1	1	1	1	0.6336718	0.5389171	0.3028765	0.5803723	0.4940778	0.6962775	0.8307953	0.5862944	0.6700507
