Geneid	S38.fastq.gz	S37.fastq.gz	S35.fastq.gz	S32.fastq.gz	S31.fastq.gz	S29.fastq.gz	S26.fastq.gz	S25.fastq.gz	S23.fastq.gz	S20prime.fastq.gz	S20.fastq.gz	S19.fastq.gz	S16.fastq.gz	S15.fastq.gz	S12.fastq.gz	S11.fastq.gz	S8.fastq.gz	S7.fastq.gz	S4.fastq.gz	S3.fastq.gz
GWK60_G00671	1074	986	709	748	1433	882	1124	525	1033	1089	806	509	810	603	816	1064	393	734	743	580
GWK60_G00693	6	7	7	6	20	8	7	2	4	5	3	2	5	0	5	6	4	5	8	1
GWK60_G00715	702	643	203	183	210	215	334	137	222	150	139	99	100	57	158	173	176	301	349	295
GWK60_G00737	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
GWK60_G00759	1822	1719	1235	1096	1314	1217	2519	930	1501	1144	979	707	907	576	1032	1150	702	963	1168	966
GWK60_G00781	1416	1095	437	317	354	327	452	175	195	108	109	79	87	39	88	114	212	280	980	726
GWK60_G00803	706	690	447	429	529	468	814	302	456	501	369	325	401	271	536	547	334	601	428	317
GWK60_G00825	192	300	1253	865	2468	1707	471	878	1369	1104	871	140	451	270	100	455	82	434	229	164
GWK60_G00847	14081	13274	2275	1522	1334	1803	916	1028	998	757	524	308	450	392	1346	2562	2685	5527	11838	9997
GWK60_G00869	6	3	2	2	4	8	7	3	5	8	8	2	0	1	6	9	5	5	3	3
GWK60_G00891	5998	4421	7198	6497	6550	7470	9903	3947	6419	4250	3464	2654	3068	2133	3019	4156	2199	3454	2599	2258
GWK60_G00913	12	9	4	6	8	3	4	1	0	1	0	0	0	2	0	2	1	1	11	4
GWK60_G00935	21212	18142	1210	631	413	690	1029	425	464	258	227	216	295	288	3142	3275	5733	7774	14356	12310
GWK60_G00957	775	879	1996	2003	3209	2430	4422	1579	2875	2219	1795	1227	1589	1103	1514	1678	554	924	366	262
GWK60_G00979	59	56	90	72	103	86	208	73	148	97	78	72	81	59	67	65	25	68	51	54
GWK60_G01001	2321	2023	1201	1132	1594	1439	2345	891	1829	1595	1374	963	1402	934	1337	1769	733	1272	1127	933
GWK60_G01023	1518	1383	1026	1009	1573	1114	1968	852	1766	1731	1263	1117	1347	846	1406	1616	867	1494	897	811
GWK60_G01045	688	554	450	452	514	426	741	246	479	362	275	225	315	215	340	337	150	286	367	241
GWK60_G01067	1542	1226	1152	1098	1737	1276	2091	882	1637	1482	1039	989	1087	747	1434	1632	705	1363	916	694
GWK60_G01089	822	702	849	913	1158	1086	1894	696	1212	1033	809	649	791	526	711	862	391	657	354	308
GWK60_G01111	1994	1874	1237	1172	1208	1288	2350	887	1499	1092	851	760	747	502	997	1214	1081	1867	2037	1592
GWK60_G01133	688	523	335	247	279	288	555	197	255	165	130	77	91	50	102	116	111	162	298	242
GWK60_G01155	609	601	582	575	689	567	1103	392	695	605	493	350	528	317	521	562	266	417	343	273
GWK60_G01177	631	567	615	429	806	578	925	349	588	414	383	254	316	268	315	428	170	298	191	123
GWK60_G01199	443	431	1313	1374	2003	1686	2612	916	1712	1207	1098	721	1049	572	781	938	338	586	237	182
GWK60_G01221	5617	5017	3107	2846	3672	3351	4923	1902	3241	2410	1802	1451	1752	1140	2140	2554	1788	2626	3668	3015
GWK60_G01243	410	393	647	566	921	785	1411	519	916	690	519	413	472	316	472	507	194	294	256	186
GWK60_G01265	38	27	14	14	27	29	42	26	44	54	66	49	78	30	48	54	32	33	17	14
GWK60_G01287	1437	1388	979	915	1076	1061	1922	744	1342	1429	1235	893	1275	810	1231	1490	674	1132	990	822
GWK60_G01309	1549	1628	677	889	1257	859	1346	554	1310	1095	820	785	840	553	1420	1562	886	1282	1134	861
GWK60_G01331	431	552	1223	1127	1021	1447	3276	955	1708	1363	969	637	923	456	580	625	252	352	211	150
GWK60_G01353	580	592	422	398	561	482	880	314	588	496	454	363	487	303	518	600	300	465	344	283
GWK60_G01375	1	1	8	14	22	17	39	12	21	15	16	8	11	6	2	3	0	2	3	1
GWK60_G01397	10031	9965	9740	9150	15417	10206	15732	5485	7553	8167	6443	3842	5451	3650	5473	7667	3045	5016	195	235
GWK60_G01419	170	143	100	133	178	150	162	86	130	117	104	66	75	44	74	93	39	77	60	29
GWK60_G01441	695	697	605	574	717	635	1055	418	629	553	394	306	393	251	408	474	281	429	427	382
GWK60_G01463	970	884	879	864	1001	852	1641	637	1013	726	628	476	506	324	569	578	331	459	524	391
GWK60_G01485	729	654	623	598	806	654	1313	456	739	498	403	299	315	174	282	337	189	273	562	384
GWK60_G01507	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GWK60_G01529	2045	2045	1555	1521	2758	1966	3477	1284	2760	2591	2129	1684	2268	1459	2351	2893	1304	2535	1262	866
GWK60_G01551	257	233	199	222	335	231	387	146	327	289	204	161	226	160	196	258	119	255	137	116
GWK60_G01573	611	609	2548	2586	3960	2971	4243	1587	2474	1452	1200	781	882	586	584	690	227	383	349	266
GWK60_G01595	1213	1300	10439	10698	25860	15344	22040	9247	17545	11655	8890	7077	7472	5541	3522	4452	396	652	37	45
GWK60_G01617	1055	902	538	572	702	622	1196	393	883	865	660	513	801	488	887	1026	445	747	600	446
GWK60_G01639	805	709	461	323	406	388	597	223	416	306	250	185	238	134	206	231	188	323	583	422
GWK60_G01661	2172	2316	2404	2870	4939	3376	5102	2084	3724	3596	2638	1850	2582	1655	2620	3232	1296	2460	1274	1007
GWK60_G01683	29526	26429	2861	2175	1828	2191	3977	1493	2065	1563	1228	1000	1172	842	3695	3826	6855	8409	19564	16556
GWK60_G01705	242	254	192	267	399	285	352	198	362	341	281	162	212	138	179	238	109	204	159	91
GWK60_G01727	428	466	248	289	541	389	254	233	510	811	592	317	657	359	350	566	177	467	270	210
GWK60_G01749	335	364	1809	2071	4817	2913	1657	1219	2269	1827	1477	694	1035	725	625	887	175	505	161	90
GWK60_G01771	208	239	421	439	811	547	601	334	749	767	554	403	534	415	458	639	167	382	135	76
GWK60_G01793	628	644	404	436	382	398	903	293	572	659	533	409	533	337	503	602	256	442	302	253
GWK60_G01815	767	667	769	690	829	731	1444	443	797	568	445	337	439	261	403	397	221	310	390	246
GWK60_G01837	1191	1014	586	526	620	678	1003	376	612	459	353	228	291	167	291	312	220	367	625	503
GWK60_G01859	2723	2318	725	671	846	760	1047	385	560	348	257	192	134	109	172	220	269	363	1511	1131
GWK60_G01881	535	522	557	660	1377	736	763	479	737	531	398	233	258	233	265	313	115	236	397	273
GWK60_G01903	1129	1101	1346	1340	2349	1623	1826	910	1692	1480	1116	679	986	635	787	1004	421	694	710	528
GWK60_G01925	234	279	3412	3567	4431	4084	3445	2142	2575	1336	1139	496	569	319	257	343	132	295	85	51
GWK60_G01947	38384	34187	5274	3269	3049	3689	4698	1906	2038	1086	856	657	725	524	2230	2849	7349	8966	26501	22271
GWK60_G01969	5105	5858	14462	18308	43630	21933	30033	13314	28202	25655	20257	14669	19818	13654	13149	16951	3559	7142	929	720
