well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
G4	215-555-3	215-555-3	19126	18516	16798	343148.5	1947.5	5196	2946.8	7974.2
G5	188-555-6	188-555-6	18767	17983	15560	368403.5	1396	17219	2098.7	25939.9
G6	221-373-1	221-373-1	19532	18795	17217	341393	1815	6729	2848.5	10352.6
G7	221-373-2	221-373-2	19736	19151	17628	342998.5	1583	5554	2502	8688.3
G8	221-373-3	221-373-3	20561	19512	17060	336689	1485	4549	2442.1	7469.2
G9	188-373-6	188-373-6	19522	18408	15921	357575	1397	14974	2153.6	23000.5
G10	235-555-1	235-555-1	16862	15898	14572	320488	1754	2478	2971.3	4273
G11	235-555-2	235-555-2	18250	17345	15735	345983	2081	3342	3148	5134.1
G12	235-555-3	235-555-3	17596	16587	15223	342280	1839	2980	2903.2	4840.8
H1	NA-156-3	yH156-3	15307	15077	13579	362600	495	75	754.7	104.8
H2	215-373-1	215-373-1	19558	18777	16537	326665	2526	8127	4123.8	13465.1
H3	215-373-2	215-373-2	18202	17457	15842	329708.5	2971	10139	4797.7	16468.6
H4	215-373-3	215-373-3	20244	19172	17382	372086.5	3930	12532.5	5551	17752.2
H5	NA-373-3	yH373-3	18293	17916	15880	366206	608	645	904.9	943.3
H6	221-555-1	221-555-1	23946	22790	17792	446742	1533	38576.5	1832.1	47716.1
H7	221-555-2	221-555-2	22053	20882	17126	461270	1662	39464.5	1890.5	46199.6
H8	221-555-3	221-555-3	22389	21131	16845	442540	1475	36147	1783.3	44868.6
H9	NA-555-3	yH555-3	16860	16754	15083	353624	580	488	905.8	752.3
H10	235-373-1	235-373-1	18215	16673	15264	323106	2490	4593	4288	8222.8
H11	235-373-2	235-373-2	18615	17181	15875	356592	3607	6460	5390.6	9796.5
H12	235-373-3	235-373-3	21137	19368	17994	354689	2496	4302.5	3856.8	6926.5
