Well	Cycle	ΔRn
B12	17	
B12	18	
B12	19	
B12	20	
B12	21	
B12	22	
B12	23	
B12	24	
B12	25	
B12	26	
B12	27	
B12	28	
B12	29	
B12	30	
B12	31	
B12	32	
B12	33	
B12	34	
B12	35	
B12	36	
B12	37	
B12	38	
B12	39	
B12	40	
C1	1	10.7001180649
C1	2	44.1476478577
C1	3	21.0695114136
C1	4	33.4665336609
C1	5	19.6101398468
C1	6	11.9095058441
C1	7	-12.0029191971
C1	8	8.2488088608
C1	9	-9.1044425964
C1	10	5.8191304207
C1	11	2.9471406937
C1	12	-7.2574906349
C1	13	-21.405664444
C1	14	-32.8606910706
C1	15	-36.7797088623
C1	16	-32.8743247986
C1	17	-15.2332220078
C1	18	-6.6380486488
C1	19	-6.2445354462
C1	20	-4.003549099
C1	21	-4.9507336617
C1	22	15.9206237793
C1	23	23.6206855774
C1	24	-3.4877536297
C1	25	-18.3130207062
C1	26	10.418138504
C1	27	23.386390686
C1	28	34.7394981384
C1	29	22.4681243896
C1	30	23.5123023987
C1	31	26.2539310455
C1	32	30.5876293182
C1	33	36.4742774963
C1	34	47.6049728394
C1	35	37.2257804871
C1	36	55.0178527832
C1	37	39.7029304504
C1	38	47.2458572388
C1	39	54.5330810547
C1	40	61.0027961731
C2	1	-127.2983398438
C2	2	127.2983398438
C2	3	545.0229492188
C2	4	1207.6088867188
C2	5	2476.6967773438
C2	6	4865.0073242188
C2	7	9265.67578125
C2	8	17408.880859375
C2	9	31477.92578125
C2	10	55282.26171875
C2	11	88973.34375
C2	12	124718.625
C2	13	149487.515625
C2	14	158107.359375
C2	15	163533.046875
C2	16	166109.140625
C2	17	169216.015625
C2	18	172923.8125
C2	19	173919
C2	20	175133.984375
C2	21	176023.015625
C2	22	178025.984375
C2	23	178401.21875
C2	24	179580.125
C2	25	181063.296875
C2	26	181559.609375
C2	27	181898.390625
C2	28	183232.5
C2	29	184017.234375
C2	30	184028.3125
C2	31	184885.734375
C2	32	184716.296875
C2	33	184910.765625
C2	34	185776.171875
C2	35	186378.234375
C2	36	186414.828125
C2	37	186765.0625
C2	38	186844.3125
C2	39	187258.59375
C2	40	187838.203125
C3	1	-49.5405273438
C3	2	49.5405273438
C3	3	409.8334960938
C3	4	1036.8774414063
C3	5	2217.5727539063
C3	6	4291.8754882813
C3	7	8100.8754882813
C3	8	15247.658203125
C3	9	28269.7109375
C3	10	50466.16015625
C3	11	83098.1484375
C3	12	122175.8359375
C3	13	150781.875
C3	14	162171.140625
C3	15	168503.15625
C3	16	171511.84375
C3	17	174455.734375
C3	18	177466.53125
C3	19	179903.0625
C3	20	181402.78125
C3	21	182628.921875
C3	22	184892.9375
C3	23	185541.9375
C3	24	186747.140625
C3	25	187823.515625
C3	26	188084.203125
C3	27	190017.09375
C3	28	190799.515625
C3	29	189859.53125
C3	30	190595.671875
C3	31	190807.84375
